Город,Численность населения,Страна
Марьина Горка,"21,40",Белоруссия
Калининград,"419,00",Россия
Мсида,"7,62",Мальта
Кафр-аз-Зият,"77,94",Египет
Добруш,"18,30",Белоруссия
Каменец,"8,40",Белоруссия
Кортрейк,"32,41",Бельгия
Логойск,"10,80",Белоруссия
Ливорно,"161,13",Италия
Валлетта — столица,"6,32",Мальта
Нальчик,"269,00",Россия
Сочи,"342,00",Россия
Венеция,"269,35",Италия
Траун,"23,94",Австрия
Пружаны,"19,00",Белоруссия
Алст,"35,65",Бельгия
Саратов,"827,00",Россия
Портсмут,"197,70",Англия
Кентербери,"148,00",Англия
Майкоп,"155,00",Россия
Астрахань,"506,00",Россия
Чериков,"8,20",Белоруссия
Торбалы,"112,98",Турция
Псков,"192,00",Россия
Шарлеруа,"22,22",Бельгия
Тальха,"74,66",Египет
Санджактепе,"231,45",Турция
Браслав,"9,50",Белоруссия
Кайруан,"117,90",Тунис
Нивель,"14,14",Бельгия
Ярославль,"607,00",Россия
Эль-Джамалия,"65,34",Египет
Балаково,"197,00",Россия
Сфакс,"265,13",Тунис
Остенде,"11,13",Бельгия
Лидс,"761,10",Англия
Лёвен,"27,86",Бельгия
Гиза,"3438,40",Египет
Диксмёйде,"3,31",Бельгия
Адапазары,"399,02",Турция
Честер,"119,90",Англия
Тюрнхаут,"35,19",Бельгия
Липецк,"502,00",Россия
Иваново,"403,00",Россия
Тюмень,"580,00",Россия
Шеффилд,"530,30",Англия
Серекунда,"348,12",Гамбия
Ачинск,"110,00",Россия
Маасейк,"13,77",Бельгия
Кадирли,"76,573",Турция
Бурса,"1642,02",Турция
Энс,"11,14",Австрия
Ла-Корунья,"243,35",Испания
Хасселт,"70,04",Бельгия
Кызылтепе,"123,76",Турция
Ставрополь,"369,00",Россия
Вустер,"93,70",Англия
Динан,"12,04",Бельгия
Энгельс,"209,00",Россия
Новороссийск,"229,00",Россия
