N,Город,Регион,Федеральный_округ,Население,Основан,Статус_города,Прежние_названия
724,Оса,Пермский край,Приволжский,19 523,1591,1737,
725,Осинники,Кемеровская область,Сибирский,40 367,1926,1938,Осиновка
726,Осташков,Тверская область,Центральный,16 674,XIV век,1770,Кличен
727,Остров,Псковская область,Северо-Западный,20 923,1341,1341,
728,Островной,Мурманская область,Северо-Западный,1 487,1611,1981,Йоканьгский погост (до 1920);
729,Острогожск,Воронежская область,Центральный,31 699,1652,1765,
730,Отрадное,Ленинградская область,Северо-Западный,25 706,1708,1970,"Ивановское, Медное, Пелла"
731,Отрадный,Самарская область,Приволжский,46 984,1920-е,1956,
732,Оха,Сахалинская область,Дальневосточный,20 357,1908,1938,Охэ
733,Оханск,Пермский край,Приволжский,6 430,1547,1781,
734,Очёр,Пермский край,Приволжский,14 385,1759,1950,
735,Павлово,Нижегородская область,Приволжский,57 116,1566,1922,Павлов Острог
736,Павловск,Воронежская область,Центральный,22 384,1709,1779,Осеред (до 1711)
737,Павловский Посад,Московская область,Центральный,65 098,1328,1844,Павлово (до 1844)
738,Палласовка,Волгоградская область,Южный,14 966,1907,1967,
739,Партизанск,Приморский край,Дальневосточный,33 832,1896,1932,Сучанский Рудник (до 1932);
740,Певек,Чукотский АО,Дальневосточный,4 015,1933,1967,
741,Пенза,Пензенская область,Приволжский,501 109,1663,1663,
742,Первомайск,Нижегородская область,Приволжский,13 223,XIX век,1951,Ташино (1951)
743,Первоуральск,Свердловская область,Уральский,114 450,1732,1933,Васильевско-Шайтанский (до 1920)
744,Перевоз,Нижегородская область,Приволжский,8 999,1593,2001,
745,Пересвет,Московская область,Центральный,11 752,1948,2000,Новостройка (до 2000)
746,Переславль-Залесский,Ярославская область,Центральный,37 738,1152,1152,Переяславль
747,Пермь,Пермский край,Приволжский,1 034 002,1723,1781,Егошихинский починок (до 1723);
748,Пестово,Новгородская область,Северо-Западный,14 032,1918,1965,
749,Петров Вал,Волгоградская область,Южный,12 526,1942,1988,
750,Петровск,Саратовская область,Приволжский,26 319,1698,1780,
751,Петровск-Забайкальский,Забайкальский край,Сибирский,15 015,1789,1926,Петровский Завод (до 1926)
752,Петрозаводск,Карелия,Северо-Западный,234 897,1703,1777,Шуйский Завод (с 1703 до 1704);
753,Петропавловск-Камчатский,Камчатский край,Дальневосточный,164 900,1740,1812,Петропавловская гавань (до 1849);
754,Петухово,Курганская область,Уральский,8 502,1779,1944,Юдино (до 1944)
755,Петушки,Владимирская область,Центральный,13 317,1861,1965,Новые Петушки
756,Печора,Коми,Северо-Западный,35 254,1940,1949,
757,Печоры,Псковская область,Северо-Западный,10 247,1473,1782,Печеры (до 1920);
758,Пикалёво,Ленинградская область,Северо-Западный,20 388,1620,1954,
759,Пионерский,Калининградская область,Северо-Западный,12 794,1254,1952,Нойкурен (до 1946)
760,Питкяранта,Карелия,Северо-Западный,8 340,XIX век,1940,"Деревня на Долгом берегу, Питкерандо"
761,Плавск,Тульская область,Центральный,16 893,1563,1949,Сергиевское (до 1926)
762,Пласт,Челябинская область,Уральский,18 379,1845,1940,Екатеринбургский сельсовет (1919—1931)
763,Плёс,Ивановская область,Центральный,1 896,1410,1925,
764,Поворино,Воронежская область,Центральный,16 417,1870,1954,
765,Подольск,Московская область,Центральный,314 934,1559,1781,
766,Подпорожье,Ленинградская область,Северо-Западный,16 123,1936,1956,
767,Покачи,Ханты-Мансийский АО,Уральский,16 040,1984,1992,
768,Покров,Владимирская область,Центральный,17 747,1506,1778,
769,Покровск,Якутия,Дальневосточный,12 021,1682,1997,
770,Полевской,Свердловская область,Уральский,55 182,1718,1942,Полевской завод
771,Полесск,Калининградская область,Северо-Западный,6 926,1258,1642,Лабиау (до 1946)
772,Полысаево,Кемеровская область,Сибирский,25 631,1952,1989,
773,Полярные Зори,Мурманская область,Северо-Западный,14 146,1968,1991,
774,Полярный,Мурманская область,Северо-Западный,12 293,1896,1939,Александровск (до 1931);
775,Поронайск,Сахалинская область,Дальневосточный,16 026,1869,1946,Тихменевский (до 1905);
776,Порхов,Псковская область,Северо-Западный,7 309,1239,1239,
777,Похвистнево,Самарская область,Приволжский,27 333,1888,1947,
778,Почеп,Брянская область,Центральный,14 991,1447,1925,
779,Починок,Смоленская область,Центральный,7 575,1868,1926,
780,Пошехонье,Ярославская область,Центральный,5 150,1680,1777,Пертома (до 1777);
781,Правдинск,Калининградская область,Северо-Западный,3 986,1312,1335,Фридланд (до 1946)
782,Приволжск,Ивановская область,Центральный,14 332,1484,1938,Яковлевское (до 1924);
783,Приморск,Калининградская область,Северо-Западный,1 436,1268,2008,Фишхаузен (до 1946)
784,Приморск,Ленинградская область,Северо-Западный,6 537,1268,1940,Берёзовское (до 1323);
785,Приморско-Ахтарск,Краснодарский край,Южный,31 087,1854,1949,"Ахтарский, Приморско-Ахтарская"
786,Приозерск,Ленинградская область,Северо-Западный,18 777,XII век,1310,"Корела (до 1580, с 1595 до 1611);"
787,Прокопьевск,Кемеровская область,Сибирский,177 819,1650,1931,Монастырское
788,Пролетарск,Ростовская область,Южный,18 983,XVII век,1970,Великокняжеская (до 1925);
789,Протвино,Московская область,Центральный,37 735,1960,1989,Серпухов-7
790,Прохладный,Кабардино-Балкария,Северо-Кавказский,59 938,1765,1937,Прохладная (до 1937)
791,Псков,Псковская область,Северо-Западный,193 082,903,903,Плесков
792,Пугачёв,Саратовская область,Приволжский,40 127,1764,1835,Николаевск (до 1918)
793,Пудож,Карелия,Северо-Западный,7 356,1382,1785,
794,Пустошка,Псковская область,Северо-Западный,4 070,1901,1925,
795,Пучеж,Ивановская область,Центральный,6 879,1594,1793,
796,Пушкино,Московская область,Центральный,110 868,1499,1925,
797,Пущино,Московская область,Центральный,19 578,1956,1966,
798,Пыталово,Псковская область,Северо-Западный,5 263,1782,1933,Яунлатгале (с 1925 до 1938);
799,Пыть-Ях,Ханты-Мансийский АО,Уральский,40 180,1968,1990,
800,Пятигорск,Ставропольский край,Северо-Кавказский,146 473,1780,1830,"Горячие Воды, Константиногорск"
801,Радужный,Владимирская область,Центральный,17 569,1971,1991,Владимир-30
802,Радужный,Ханты-Мансийский АО,Уральский,43 577,1973,1985,
803,Райчихинск,Амурская область,Дальневосточный,15 797,1932,1944,Райчиха
804,Раменское,Московская область,Центральный,114 537,1328,1926,Раменье
805,Рассказово,Тамбовская область,Центральный,47 644,1698,1926,
806,Ревда,Свердловская область,Уральский,60 200,1734,1935,
807,Реж,Свердловская область,Уральский,36 585,1773,1943,
808,Реутов,Московская область,Центральный,113 871,1573,1940,Реутово (до 1940)
809,Ржев,Тверская область,Центральный,55 757,1216,1216,"Ржева Володимирова, Ржевка, Ржов"
810,Родники,Ивановская область,Центральный,24 101,1606,1918,
811,Рославль,Смоленская область,Центральный,45 416,1137,1755,Ростиславль
812,Россошь,Воронежская область,Центральный,60 879,XVII век,1923,
813,Ростов-на-Дону,Ростовская область,Южный,1 142 162,1749,1807,"Темерницкая таможня, Темерницкое городище"
814,Ростов,Ярославская область,Центральный,28 122,862,862,
815,Рошаль,Московская область,Центральный,21 401,1916,1940,Крестов Брод (до 1917)
816,Ртищево,Саратовская область,Приволжский,37 850,1666,1925,Покровское (до 1723)
817,Рубцовск,Алтайский край,Сибирский,126 834,1892,1927,Рубцово (до 1922)
818,Рудня,Смоленская область,Центральный,8 908,1363,1926,
819,Руза,Московская область,Центральный,16 014,1328,1781,
820,Рузаевка,Мордовия,Приволжский,42 989,1631,1973,
821,Рыбинск,Ярославская область,Центральный,177 295,1071,1777,Усть-Шексна (до 1504);
822,Рыбное,Рязанская область,Центральный,21 069,1597,1961,
823,Рыльск,Курская область,Центральный,15 069,1152,XII век,
824,Ряжск,Рязанская область,Центральный,20 634,1502,1778,Рясское Поле
825,Рязань,Рязанская область,Центральный,528 599,1095,1095,Переяславль-Рязанский (до 1778)
826,Сакине призн.,Крым,Южный,24 285,1952,1952,Сак
827,Салават,Башкортостан,Приволжский,148 575,1948,1954,Новострой
828,Салаир,Кемеровская область,Сибирский,7 088,1626,1941,
829,Салехард,Ямало-Ненецкий АО,Уральский,47 910,1595,1938,Обдорск (до 1933)
830,Сальск,Ростовская область,Южный,57 937,1812,1926,Торговая (до 1918);
831,Самара,Самарская область,Приволжский,1 173 299,1586,1688,Куйбышев (с 1935 по 1991)
832,Санкт-Петербург,Санкт-Петербург,Северо-Западный,5 601 911,1703,1703,Петроград (с 1914 до 1924);
833,Саранск,Мордовия,Приволжский,314 871,1641,1780,Саранский Острожек
834,Сарапул,Удмуртия,Приволжский,91 115,1621,1780,Вознесенское (до 1707)
835,Саратов,Саратовская область,Приволжский,901 361,1590,1590,
836,Саров,Нижегородская область,Приволжский,93 357,1691,1954,Арзамас-75 (до 1966);
837,Сасово,Рязанская область,Центральный,21 628,1642,1926,
838,Сатка,Челябинская область,Уральский,42 597,1758,1758,
839,Сафоново,Смоленская область,Центральный,38 403,1859,1952,
840,Саяногорск,Хакасия,Сибирский,44 872,1830,1975,Означенное (до 1975)
841,Саянск,Иркутская область,Сибирский,35 561,1970,1985,
842,Светлогорск,Калининградская область,Северо-Западный,16 207,1258,1947,Раушен (до 1947)
843,Светлоград,Ставропольский край,Северо-Кавказский,35 703,1786,1965,Петровское (до 1965)
844,Светлый,Калининградская область,Северо-Западный,21 114,1640,1955,Циммербуде (до 1947)
845,Светогорск,Ленинградская область,Северо-Западный,13 784,1887,1949,Энсо (до 1949)
846,Свирск,Иркутская область,Сибирский,15 485,XIX век,1949,"Заимка Черниговская, Свирская, Свирское"
847,Свободный,Амурская область,Дальневосточный,48 517,1912,1912,Алексеевск (до 1917)
848,Себеж,Псковская область,Северо-Западный,6 246,1414,1772,
849,Севастопольне призн.,Севастополь,Южный,547 820,1783,1783,Акъяр (до 1783);
850,Северо-Курильск,Сахалинская область,Дальневосточный,2 374,1875,1946,Касивабара (до 1946)
851,Северобайкальск,Бурятия,Сибирский,24 233,1974,1980,
852,Северодвинск,Архангельская область,Северо-Западный,157 213,1936,1938,Судострой (до 1938);
853,Североморск,Мурманская область,Северо-Западный,43 327,1896,1951,Ваенга (до 1951)
854,Североуральск,Свердловская область,Уральский,24 428,1758,1944,Петропавловский (до 1944)
855,Северск,Томская область,Сибирский,106 648,1949,1954,"Почтовый ящик N° 5, Берёзки, Томск-7"
856,Севск,Брянская область,Центральный,6 732,1146,1146,
857,Сегежа,Карелия,Северо-Западный,23 543,1914,1943,
858,Сельцо,Брянская область,Центральный,15 906,1870-е,1990,
859,Семёнов,Нижегородская область,Приволжский,25 075,1644,1779,
860,Семикаракорск,Ростовская область,Южный,21 719,1672,1972,"Семикаракорская, Семикаракоры"
861,Семилуки,Воронежская область,Центральный,27 938,1615,1954,
862,Сенгилей,Ульяновская область,Приволжский,6 407,1666,1943,Покровское (до 1780)
863,Серафимович,Волгоградская область,Южный,8 633,1589,1933,Усть-Медведицкая (до 1933)
864,Сергач,Нижегородская область,Приволжский,20 256,1649,1779,
865,Сергиев Посад,Московская область,Центральный,101 756,1337,1919,Сергиев (до 1930);
866,Сердобск,Пензенская область,Приволжский,30 220,1698,1780,
867,Серноводское,Чечня,Северо-Кавказский,12 583,1846,2024,Михайловская (до 1922);
868,Серов,Свердловская область,Уральский,94 211,1893,1919,"Надеждинск (до 1943, с 1937 до 1939);"
869,Серпухов,Московская область,Центральный,133 793,1339,1374,
870,Сертолово,Ленинградская область,Северо-Западный,68 241,1936,1988,"Сиротала, Сертолла, Серталово, Серполово"
871,Сибай,Башкортостан,Приволжский,56 514,1925,1955,Сибаевский рудник
872,Сим,Челябинская область,Уральский,12 858,1759,1942,Симский завод (до 1928)
873,Симферопольне призн.,Крым,Южный,340 540,1784,1784,
874,Сковородино,Амурская область,Дальневосточный,7 057,1908,1927,Змеиный (до 1909);
875,Скопин,Рязанская область,Центральный,25 238,1676,1778,
876,Славгород,Алтайский край,Сибирский,27 900,1910,1914,
877,Славск,Калининградская область,Северо-Западный,4 153,1292,1946,Хайнрихсвальде (до 1947)
878,Славянск-на-Кубани,Краснодарский край,Южный,62 985,1865,1958,"Ло-Копа, Ени-Копыл, Славянская"
879,Сланцы,Ленинградская область,Северо-Западный,34 628,1934,1949,
880,Слободской,Кировская область,Приволжский,29 148,1505,1780,
881,Слюдянка,Иркутская область,Сибирский,18 058,1899,1936,
882,Смоленск,Смоленская область,Центральный,316 570,863,863,
883,Снежинск,Челябинская область,Уральский,50 619,1955,1957,Жилой посёлок № 2 (до 1957);
884,Снежногорск,Мурманская область,Северо-Западный,9 942,1970,1980,Вьюжный (до 1980);
885,Собинка,Владимирская область,Центральный,17 444,1858,1939,
886,Советск,Калининградская область,Северо-Западный,38 910,1288,1552,Тильзит (до 1946)
887,Советск,Кировская область,Приволжский,14 626,XII век,1937,Кукарка (до 1918)
888,Советск,Тульская область,Центральный,7 889,1949,1954,Никольское
889,Советская Гавань,Хабаровский край,Дальневосточный,24 231,1853,1941,Константиновский пост (до 1856);
890,Советский,Ханты-Мансийский АО,Уральский,31 138,1963,1996,
891,Сокол,Вологодская область,Северо-Западный,34 742,1615,1932,Соколово
892,Солигалич,Костромская область,Центральный,5 534,1335,1778,Соль Галичьская
893,Соликамск,Пермский край,Приволжский,89 473,1430,1573,"Соль Камская, Усолье Камское"
894,Солнечногорск,Московская область,Центральный,48 413,XVIII век,1938,Солнечная Гора (до 1928);
895,Соль-Илецк,Оренбургская область,Приволжский,26 149,1754,1865,Илецк (до 1926);
896,Сольвычегодск,Архангельская область,Северо-Западный,1 952,1492,1708,"Усолье, Усольск, Соль-Вычегодская"
897,Сольцы,Новгородская область,Северо-Западный,8 449,1390,1914,
898,Сорочинск,Оренбургская область,Приволжский,28 478,1737,1945,
899,Сорск,Хакасия,Сибирский,10 124,1940,1966,Сора (до 1966)
900,Сортавала,Карелия,Северо-Западный,14 867,1468,1783,Сердоболь (до 1918)
901,Сосенский,Калужская область,Центральный,11 413,1952,1991,"Ленинский, Шепелевский"
902,Сосновка,Кировская область,Приволжский,8 428,1699,1962,
903,Сосновоборск,Красноярский край,Сибирский,40 442,1971,1985,
904,Сосновый Бор,Ленинградская область,Северо-Западный,65 367,1958,1973,
905,Сосногорск,Коми,Северо-Западный,22 189,1939,1955,Ижма (до 1957)
906,Сочи,Краснодарский край,Южный,466 078,1838,1917,
907,Спас-Деменск,Калужская область,Центральный,4 569,1446,1917,
908,Спас-Клепики,Рязанская область,Центральный,4 743,XVI век,1920,"Клепиково, Спасское"
909,Спасск,Пензенская область,Приволжский,6 936,XVII век,1779,Богданово (до 1673);
910,Спасск-Дальний,Приморский край,Дальневосточный,35 732,1886,1917,Спасское (до 1917);
911,Спасск-Рязанский,Рязанская область,Центральный,5 796,1629,1778,Спасск (до 1929)
912,Среднеколымск,Якутия,Дальневосточный,3 131,1643,1775,"Ярмонга, Ярманка"
913,Среднеуральск,Свердловская область,Уральский,23 344,1931,1966,Посёлок СУГРЭС
914,Сретенск,Забайкальский край,Сибирский,6 093,1689,1926,
915,Ставрополь,Ставропольский край,Северо-Кавказский,547 443,1777,1785,Ставрополь-Кавказский (до 1935);
916,Старая Купавна,Московская область,Центральный,22 898,XIV век,2004,
917,Старая Русса,Новгородская область,Северо-Западный,27 487,1167,1167,Руса
918,Старица,Тверская область,Центральный,6 938,1297,1297,"Городок, Городеск"
919,Стародуб,Брянская область,Центральный,17 687,1080,1080,
920,Старый Крымне призн.,Крым,Южный,10 470,XIII век,XIII век,"Кырым, Солхат, Левкополь"
921,Старый Оскол,Белгородская область,Центральный,221 676,1593,1593,Оскол (до 1655)
922,Стерлитамак,Башкортостан,Приволжский,277 410,1766,1782,
923,Стрежевой,Томская область,Сибирский,39 169,1966,1978,
924,Строитель,Белгородская область,Центральный,23 780,1958,2000,
925,Струнино,Владимирская область,Центральный,11 774,1492,1938,
926,Ступино,Московская область,Центральный,64 412,1938,1938,Электровоз (до 1938)
927,Суворов,Тульская область,Центральный,17 598,1949,1954,Суворовский (до 1954)
928,Судакне призн.,Крым,Южный,17 834,212,,"Солдая, Сугдея, Сидагиос, Сурож"
929,Суджа,Курская область,Центральный,5 127,XVI век,1664,
930,Судогда,Владимирская область,Центральный,10 408,1552,1778,
931,Суздаль,Владимирская область,Центральный,9 286,999,999,
932,Сунжа,Ингушетия,Северо-Кавказский,62 078,1845,2016,Сунженская (до 1852);
933,Суоярви,Карелия,Северо-Западный,7 190,XVI век,1940,Шуезерск
934,Сураж,Брянская область,Центральный,11 176,XVII век,1781,Суражичи (до 1781)
935,Сургут,Ханты-Мансийский АО,Уральский,396 443,1594,1965,
936,Суровикино,Волгоградская область,Южный,18 227,1744,1966,
937,Сурск,Пензенская область,Приволжский,6 034,1849,1953,Никольский Хутор (до 1953)
938,Сусуман,Магаданская область,Дальневосточный,4 439,1938,1964,
939,Сухиничи,Калужская область,Центральный,14 806,XVIII век,1840,
940,Сухой Лог,Свердловская область,Уральский,32 748,1710,1943,
941,Сызрань,Самарская область,Приволжский,165 725,1683,1796,
942,Сыктывкар,Коми,Северо-Западный,220 580,1780,1780,Усть-Сысольск (до 1930)
943,Сысерть,Свердловская область,Уральский,20 634,1732,1946,
944,Сычёвка,Смоленская область,Центральный,7 544,1488,1776,
945,Сясьстрой,Ленинградская область,Северо-Западный,12 566,1926,1992,Сясьские Рядки
946,Тавда,Свердловская область,Уральский,32 749,1910,1937,"Посёлок суконной фабрики Ушкова, Каратуновка"
947,Таганрог,Ростовская область,Южный,245 120,1698,1775,
948,Тайга,Кемеровская область,Сибирский,22 375,1896,1911,
949,Тайшет,Иркутская область,Сибирский,34 491,1897,1938,
950,Талдом,Московская область,Центральный,17 317,1677,1918,Ленинск (с 1918 до 1931)
951,Талица,Свердловская область,Уральский,14 808,1732,1942,
952,Тамбов,Тамбовская область,Центральный,261 803,1636,1719,Танбов
953,Тара,Омская область,Сибирский,26 878,1594,1594,
954,Тарко-Сале,Ямало-Ненецкий АО,Уральский,19 900,1932,2004,
955,Таруса,Калужская область,Центральный,9 918,1246,1776,
956,Татарск,Новосибирская область,Сибирский,23 711,1894,1911,
957,Таштагол,Кемеровская область,Сибирский,21 980,1939,1963,
958,Тверь,Тверская область,Центральный,416 219,1135,1139,Калинин (с 1932 до 1990)
959,Теберда,Карачаево-Черкесия,Северо-Кавказский,9 020,1868,1971,
960,Тейково,Ивановская область,Центральный,31 305,XVII век,1918,
961,Тельмана,Ленинградская область,Северо-Западный,23 986,1792,2024,Колпинская колония
962,Темников,Мордовия,Приволжский,6 451,XII век,1536,
963,Темрюк,Краснодарский край,Южный,41 608,1860,1860,
964,Терек,Кабардино-Балкария,Северо-Кавказский,19 948,1876,1967,Муртазово (до 1920)
965,Тетюши,Татарстан,Приволжский,10 535,1578,1781,
966,Тимашёвск,Краснодарский край,Южный,51 858,1794,1966,
967,Тихвин,Ленинградская область,Северо-Западный,55 415,1383,1773,
968,Тихорецк,Краснодарский край,Южный,55 686,1895,1926,Тихорецкий
969,Тобольск,Тюменская область,Уральский,100 352,1587,1590,"Тоболеск-Ладейный, Тоболеск"
970,Тогучин,Новосибирская область,Сибирский,20 766,1867,1945,
971,Тольятти,Самарская область,Приволжский,684 709,1737,1780,Ставрополь (до 1964)
972,Томари,Сахалинская область,Дальневосточный,4 313,1870,1946,Томариору (до 1946)
973,Томмот,Якутия,Дальневосточный,6 440,1923,1923,
974,Томск,Томская область,Сибирский,556 478,1604,1604,
975,Топки,Кемеровская область,Сибирский,27 158,1914,1933,
976,Торжок,Тверская область,Центральный,41 116,IX—X века,1135,Новый Торг
977,Торопец,Тверская область,Центральный,11 441,1074,1074,
978,Тосно,Ленинградская область,Северо-Западный,34 066,1500,1963,"Тосна, Ям-Тосна"
979,Тотьма,Вологодская область,Северо-Западный,8 669,1137,1780,"Соль Тотемская, Усолье Тотемское"
980,Трёхгорный,Челябинская область,Уральский,32 463,1952,1955,"Златоуст-20, Златоуст-36"
981,Троицк,Челябинская область,Уральский,70 301,1743,1784,
982,Трубчевск,Брянская область,Центральный,13 287,975,975,"Трубеч, Трубецк"
983,Туапсе,Краснодарский край,Южный,61 571,1838,1916,"Вельяминовская, Вельяминовка"
984,Туймазы,Башкортостан,Приволжский,68 349,1912,1960,Туймаза
985,Тула,Тульская область,Центральный,473 622,1146,1146,
986,Тулун,Иркутская область,Сибирский,38 440,1735,1927,
987,Туран,Тыва,Сибирский,5 044,1885,1945,
988,Туринск,Свердловская область,Уральский,16 561,1600,1600,Епанчин
989,Тутаев,Ярославская область,Центральный,39 643,XIII век,1822,Романов-Борисоглебск (до 1918)
990,Тында,Амурская область,Дальневосточный,28 625,1907,1975,Тындинское (до 1937);
991,Тырныауз,Кабардино-Балкария,Северо-Кавказский,22 056,1934,1955,Гирхожан (до 1937);
992,Тюкалинск,Омская область,Сибирский,9 894,1759,1823,Тюкала
993,Тюмень,Тюменская область,Уральский,847 488,1586,1586,Чинги-Тура
994,Уварово,Тамбовская область,Центральный,23 584,1699,1966,
995,Углегорск,Сахалинская область,Дальневосточный,8 041,XX век,1946,Эсутору (до 1946)
996,Углич,Ярославская область,Центральный,32 719,1148,1148,
997,Удачный,Якутия,Дальневосточный,12 930,1967,1987,
998,Удомля,Тверская область,Центральный,25 950,1478,1981,
999,Ужур,Красноярский край,Сибирский,14 134,1760,1953,Усул
1000,Узловая,Тульская область,Центральный,49 427,1873,1938,Хрущёвская (до 1877)
1001,Улан-Удэ,Бурятия,Сибирский,437 565,1666,1690,Удинское зимовье (до 1680);
1002,Ульяновск,Ульяновская область,Приволжский,617 352,1648,1648,Синбирск (до 1780);
1003,Унеча,Брянская область,Центральный,24 274,1887,1940,
1004,Урай,Ханты-Мансийский АО,Уральский,41 315,1922,1965,
1005,Урень,Нижегородская область,Приволжский,12 450,1719,1973,Трёхсвятское
1006,Уржум,Кировская область,Приволжский,8 448,1584,1796,
1007,Урус-Мартан,Чечня,Северо-Кавказский,63 449,XVIII век,1990,Красноармейское (с 1944 до 1958)
1008,Урюпинск,Волгоградская область,Южный,36 669,1618,1929,Урюпинская (до 1929)
1009,Усинск,Коми,Северо-Западный,32 182,1966,1984,
1010,Усмань,Липецкая область,Центральный,19 662,1645,1779,
1011,Усолье-Сибирское,Иркутская область,Сибирский,74 762,1669,1925,Усолье (до 1940)
1012,Усолье,Пермский край,Приволжский,6 619,1606,1940,
1013,Уссурийск,Приморский край,Дальневосточный,180 393,1866,1898,Никольск (до 1926);
1014,Усть-Джегута,Карачаево-Черкесия,Северо-Кавказский,31 137,1868,1975,Усть-Джегутинская (до 1975)
1015,Усть-Илимск,Иркутская область,Сибирский,79 570,1966,1973,Усть-Илим (до 1973)
1016,Усть-Катав,Челябинская область,Уральский,21 439,1758,1942,Усть-Катавский завод
1017,Усть-Кут,Иркутская область,Сибирский,36 918,1631,1954,"Усть-Кутский острог, Усть-Кутское"
1018,Усть-Лабинск,Краснодарский край,Южный,40 158,1794,1958,Усть-Лабинская (до 1958)
1019,Устюжна,Вологодская область,Северо-Западный,7 843,1252,1252,
1020,Уфа,Башкортостан,Приволжский,1 144 809,1574,1586,
1021,Ухта,Коми,Северо-Западный,79 899,1929,1943,
1022,Учалы,Башкортостан,Приволжский,36 175,сер. XVIII века,1963,
1023,Уяр,Красноярский край,Сибирский,12 036,1760,1944,Клюквенная
1024,Фатеж,Курская область,Центральный,4 691,XVI век,1779,
1025,Феодосияне призн.,Крым,Южный,66 293,VI век до н. э.,,"Кефе, Кафа"
1026,Фокино,Брянская область,Центральный,12 538,1899,1964,Цементный (до 1964)
1027,Фокино,Приморский край,Дальневосточный,19 711,1891,1980,Тихоокеанский (до 1980);
1028,Фролово,Волгоградская область,Южный,35 661,1859,1936,
1029,Фрязино,Московская область,Центральный,60 580,1584,1951,
1030,Фурманов,Ивановская область,Центральный,29 715,1918,1918,Середа-Упино (до 1918);
1031,Хабаровск,Хабаровский край,Дальневосточный,617 441,1858,1880,Бури (до 1858);
1032,Хадыженск,Краснодарский край,Южный,22 094,1864,1949,
1033,Ханты-Мансийск,Ханты-Мансийский АО,Уральский,107 473,1582,1950,Остяко-Вогульск (до 1940)
1034,Харабали,Астраханская область,Южный,18 514,1789,1974,
1035,Харовск,Вологодская область,Северо-Западный,8 389,1903,1954,
1036,Хасавюрт,Дагестан,Северо-Кавказский,155 144,1846,1931,Ярыксув (до 1847)
1037,Хвалынск,Саратовская область,Приволжский,12 042,1556,1780,Сосновка (до 1606);
1038,Хилок,Забайкальский край,Сибирский,9 948,1895,1951,
1039,Химки,Московская область,Центральный,257 128,1850,1939,
1040,Холм,Новгородская область,Северо-Западный,3 214,1144,1777,
1041,Холмск,Сахалинская область,Дальневосточный,25 677,1870,1922,Маука (до 1905);
1042,Хотьково,Московская область,Центральный,20 466,1308,1949,
1043,Цивильск,Чувашия,Приволжский,12 762,1589,1781,
1044,Цимлянск,Ростовская область,Южный,14 731,1672,1961,Кумшацкая (до 1950);
1045,Циолковский,Амурская область,Дальневосточный,7 194,1961,2015,Углегорск (до 1969);
1046,Чадан,Тыва,Сибирский,9 732,1873,1945,Артаадыт (до 1929)
1047,Чайковский,Пермский край,Приволжский,75 837,1955,1962,
1048,Чапаевск,Самарская область,Приволжский,70 228,1909,1927,Иващенково (до 1918);
1049,Чаплыгин,Липецкая область,Центральный,11 579,1638,1778,Слободское (до 1778);
1050,Чебаркуль,Челябинская область,Уральский,44 693,1736,1951,
1051,Чебоксары,Чувашия,Приволжский,497 807,1469,1469,
1052,Чегем,Кабардино-Балкария,Северо-Кавказский,20 736,1822,2000,Кундетово (до 1920);
1053,Чекалин,Тульская область,Центральный,935,1565,1746,Лихвин (до 1944)
1054,Челябинск,Челябинская область,Уральский,1 177 058,1736,1781,
1055,Чердынь,Пермский край,Приволжский,4 590,1451,1535,
1056,Черемхово,Иркутская область,Сибирский,53 958,1772,1917,Черемховское
1057,Черепаново,Новосибирская область,Сибирский,19 900,1912,1925,Свободный (до 1921)
1058,Череповец,Вологодская область,Северо-Западный,305 185,1777,1777,
1059,Черкесск,Карачаево-Черкесия,Северо-Кавказский,113 226,1825,1931,Баталпашинская (до 1931);
1060,Чёрмоз,Пермский край,Приволжский,3 044,1701,1943,
1061,Черноголовка,Московская область,Центральный,19 530,1710,2001,
1062,Черногорск,Хакасия,Сибирский,75 745,1936,1936,Черногорские Копи (до 1936)
1063,Чернушка,Пермский край,Приволжский,32 991,1854,1966,
1064,Черняховск,Калининградская область,Северо-Западный,36 128,1336,1583,Инстербург (до 1946)
1065,Чехов,Московская область,Центральный,89 025,1175,1954,Лопасня (до 1954)
1066,Чистополь,Татарстан,Приволжский,58 815,XVIII век,1781,Чистое Поле (до 1781)
1067,Чита,Забайкальский край,Сибирский,334 427,1653,1851,"Плотбище, Плоты, Читинская слобода"
1068,Чкаловск,Нижегородская область,Приволжский,11 535,XII век,1955,Василёво (до 1937)
1069,Чудово,Новгородская область,Северо-Западный,14 302,XVI век,1937,
1070,Чулым,Новосибирская область,Сибирский,11 034,1762,1947,Романовское (до 1933)
1071,Чусовой,Пермский край,Приволжский,45 471,1878,1933,
1072,Чухлома,Костромская область,Центральный,4 252,1381,1778,
1073,Шагонар,Тыва,Сибирский,11 772,1888,1945,
1074,Шадринск,Курганская область,Уральский,68 609,1662,1712,Шадринская слобода (до 1712);
1075,Шали,Чечня,Северо-Кавказский,55 054,1378 или 1384,1990,Междуречье (с 1944 до 1958)
1076,Шарыпово,Красноярский край,Сибирский,33 961,XVIII век,1981,Черненко (с 1985 до 1988)
1077,Шарья,Костромская область,Центральный,20 439,1906,1938,
1078,Шатура,Московская область,Центральный,38 230,1423,1936,
1079,Шахты,Ростовская область,Южный,226 452,1805,1867,Горное Грушевское поселение (до 1881);
1080,Шахунья,Нижегородская область,Приволжский,17 626,1912,1943,
